,Product Name,Product URL,Product Price,Rating,Number of Reviews
287,"Wenger CRANGO 16 Inch Laptop Backpack with Organizer for essentials, Dedicated patch for a bicycle light in Rust Alps Print (27 Litre)-blend of style & function, Swiss designed, 612030",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTcwODcwMjIzMTc0NDY3OjE2NzU1Nzg5MDU6c3BfYXRmX25leHQ6MjAwNTgxNDM4NzUyOTg6OjA6Og&url=%2FWenger-Multi-Colour-Laptop-Backpack-610194%2Fdp%2FB08MCGYVQ6%2Fref%3Dsr_1_210_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578905%26sprefix%3Dba%252Caps%252C283%26sr%3D8-210-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"1,690",4.3 out of 5 stars,"3,832"
288,BROGBUS Leather Men Bag Business Messenger,https://www.amazon.in/BROGBUS-Business-Messenger-Sling-10-05inch/dp/B09QLD9GJY/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-211,989,4.2 out of 5 stars,890
289,"Safari 48 Cms Black Formal/Office/Laptop Backpack With Anti-Theft, Lock, Usb And Rfid (Vault19Cbblk)",https://www.amazon.in/Safari-Formal-Backpack-Anti-Theft-VAULT19CBBLK/dp/B07XSTR69N/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-212,"1,399",3.1 out of 5 stars,16
290,ASTRID Women's 17'' Black and White Textured Laptop Bag With Accessory Pouch,https://www.amazon.in/ASTRID-Black-Textured-Laptop-Accessory/dp/B09Z2G37YY/ref=sr_1_213?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-213,999,4.1 out of 5 stars,"3,683"
291,Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Betula-Womens-Tote-Brown/dp/B08J8JCPZ4/ref=sr_1_214?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-214,894,4.2 out of 5 stars,158
292,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_215?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-215,549,4.3 out of 5 stars,"1,326"
293,"Storite PU Leather 14 inch Laptop Messenger Organizer Bag/Shoulder Sling Office Bag for Men & Women – (37x 27x7 cm,Light Brown)",https://www.amazon.in/Storite-Leather-Laptop-Bag-inch/dp/B081GQJLD2/ref=sr_1_216?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-216,999,4.4 out of 5 stars,220
294,"VIFITKIT Gym Bag for Men & Women, Duffel Bag, Multi-Purpose Bag with Spacious Storage Compartment & Durable Zipper Closure (22.5 litres, Blue & Black)",https://www.amazon.in/VIFITKIT-Multi-Purpose-Spacious-Storage-Compartment/dp/B0B4BLYKYB/ref=sr_1_217?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-217,299,4.4 out of 5 stars,38
295,Gear Campus1 22L Water Resistant School Bag/ College Bag/ Backpack For Men/Women-Black Royalblue,https://www.amazon.in/Gear-Black-Casual-Backpack-BKPCMPUS10110/dp/B00Z9427SK/ref=sr_1_218?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-218,649,3.9 out of 5 stars,217
296,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTcwODcwMjIzMTc0NDY3OjE2NzU1Nzg5MDU6c3BfbXRmOjIwMDIyMjk4MTY2MTA2OjowOjo&url=%2FConvertible-Backpack-Messenger-Briefcase-Multi-Functional%2Fdp%2FB07D1QHR6H%2Fref%3Dsr_1_219_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578905%26sprefix%3Dba%252Caps%252C283%26sr%3D8-219-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,862",4.1 out of 5 stars,"3,400"
297,ZUKA Synthetic Leather Laptop Backpack Travel Backpack college Backpack for Men and Women for 15.6 Inch Laptop,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTcwODcwMjIzMTc0NDY3OjE2NzU1Nzg5MDU6c3BfbXRmOjIwMDc4NDA4MzM2Njk4OjowOjo&url=%2FZUKA-Synthetic-Leather-Backpack-college%2Fdp%2FB0B65P2B1D%2Fref%3Dsr_1_220_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578905%26sprefix%3Dba%252Caps%252C283%26sr%3D8-220-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,651,3.9 out of 5 stars,"17,262"
298,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- All) (Grey & Red),https://www.amazon.in/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N53TWB/ref=sr_1_221?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-221,"1,519",4.4 out of 5 stars,147
299,Wildcraft 35 Ltrs 18.5 cms Backpack (11911 Grey_Grey),https://www.amazon.in/Wildcraft-Solid-Backpack-Grey-11911/dp/B07N1CM9QS/ref=sr_1_222?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-222,"1,224",5.0 out of 5 stars,12
300,Genie Flamenco2 Casual Backpacks for Women,https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=sr_1_223?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-223,699,4.0 out of 5 stars,16
301,ASTRID Blue Textured Cotton Tote Bag With Coin Pouch,https://www.amazon.in/ASTRID-Blue-Textured-Cotton-Pouch/dp/B08W431L94/ref=sr_1_224?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-224,749,4.3 out of 5 stars,"9,845"
302,"Amazon Brand - Solimo Cricket Kit Bag, Black",https://www.amazon.in/Amazon-Brand-Solimo-Cricket-Black/dp/B08J8L13V5/ref=sr_1_225?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-225,899,4.3 out of 5 stars,609
303,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96/ref=sr_1_226?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-226,395,4.4 out of 5 stars,"1,001"
304,"POLESTAR Leader 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",https://www.amazon.in/POLESTAR-backpack-Backpack-College-Students/dp/B08X2KRL8B/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-227,599,3.9 out of 5 stars,"1,296"
305,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",https://www.amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1675578905&sprefix=ba%2Caps%2C283&sr=8-228,579,4.2 out of 5 stars,"3,625"
306,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTcwODcwMjIzMTc0NDY3OjE2NzU1Nzg5MDU6c3BfYnRmOjIwMTE1MTA0OTA4Mzk4OjowOjo&url=%2FMOKOBARA-Backpack-Leather-Resistant-College%2Fdp%2FB0BR7N3KF4%2Fref%3Dsr_1_229_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578905%26sprefix%3Dba%252Caps%252C283%26sr%3D8-229-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"4,490",4.4 out of 5 stars,"1,696"
